Name,Team,offense,defense,contact,power,plate_discipline,baserunning
Aaron Judge,NYY,4.5138167709181936,-1.1390458362421012,-1.0557459927941428,4.682371468095173,1.85494137339191,-0.2023388890696806
Bobby Witt Jr.,KCR,2.6391182599308767,2.369060892490521,0.501144001250658,1.8946734626726291,-0.5870270823224288,1.8329639695801976
Shohei Ohtani,LAD,3.126539872787579,-2.025571002347818,-0.7928944353580094,3.585205184836502,0.2616002533511844,3.94967894257607
Juan Soto,NYY,3.0890459025678325,-0.6197953818087528,0.09675698981045171,2.7791238338709463,1.85494137339191,-1.5456387757786
Gunnar Henderson,BAL,2.1516966470741745,0.7479863030400674,-0.024559113621613116,1.4580460642329531,1.0063140377180506,1.6294336837152097
Francisco Lindor,NYM,1.4768051831187403,2.369060892490521,-0.1054365159096526,1.4692416385519191,0.2616002533511844,1.6294336837152097
Jarren Duran,BOS,1.1768534213607698,1.0646024337921092,0.5618020529666894,0.7639204564570583,0.14036777682652316,3.420500199327102
Jose Ramirez,CLE,1.6267810639977258,0.304723719987209,1.2694793229870545,1.2789168751294961,-0.48311353101543564,2.5656729986941538
Elly De La Cruz,CIN,0.7644197489435601,2.2677437306498676,-1.0961846939381636,1.222939003534666,0.400151655094006,3.0541456847701243
Ketel Marte,ARI,2.0017207661951892,0.7479863030400674,0.4202665989626163,1.8051088681209009,0.46942735596517066,0.3675459113522853
Vladimir Guerrero Jr.,TOR,2.5266363492716377,-2.0509002928079814,0.3798278978185955,1.4356549155950211,0.2442813281335163,-2.2783478048925563
William Contreras,MIL,1.2518413618002624,1.1025963694823542,-0.4491654756338299,0.6183779903105002,0.5040652064009992,-1.0571660897026294
Matt Chapman,SFG,0.8769016596027991,1.609182178685621,-0.20653326876970474,1.2565257264915641,0.7465301594505678,1.5073155121962172
Cal Raleigh,SEA,0.7269257787238137,2.88831134692387,-0.8535524870740385,1.5700018074226136,-0.7082595588473362,-1.0571660897026294
Yordan Alvarez,HOU,2.6391182599308767,-1.9622477761974098,0.9661890644068979,1.9506513342674596,-0.2579675031835352,-1.179284261221622
Jackson Merrill,SDP,1.214347391580516,0.9632852719514557,0.33938919667457235,1.0214186657932776,-1.0892759136394803,1.5073155121962172
Bryce Harper,PHI,1.776756944876711,-0.39183176766728284,0.48092465067864765,1.2789168751294961,-0.794854184936415,-0.2023388890696806
Brent Rooker,OAK,2.4891423790518914,-1.9115891952770832,-0.40872677448980904,2.297714138155407,-0.3618810544905283,0.32683985417928774
Willy Adames,MIL,0.8019137191633064,0.8999620458010474,-0.46938482620584254,1.1333744089829376,0.0884110011730266,0.489664082871278
Marcell Ozuna,ATL,2.114202676854428,-2.063564938038063,-0.9142105387900697,1.8834778883536631,0.4174705803116741,-1.8712872331625805
Corey Seager,TEX,1.5892870937779795,1.026608498101864,0.6426794552547288,1.7491309965260706,0.05377315073744425,-2.115523576200566
Mookie Betts,LAD,1.6267810639977258,0.06409546061565723,1.815401788431336,0.360879780974281,1.577838569906513,0.2454277398332926
Carlos Correa,MIN,2.1516966470741745,0.9632852719514557,0.4404859495346245,0.7639204564570583,0.590659832490078,-0.2430449462426781
Jurickson Profar,SDP,1.551793123558233,-1.2783569337729996,0.9257503632628771,0.23772846346565438,1.040951888153633,-0.32445706058867324
Dansby Swanson,CHC,0.05203431476837976,2.483042699561256,-1.156842745654195,0.11457714595702778,0.6599355333614888,1.7922579124072
Patrick Bailey,SFG,-0.6228571491870543,4.788008131436119,0.48092465067864765,-0.7810687995602557,0.7118923090149855,0.20472168266029506
Kyle Tucker,HOU,3.0890459025678325,-0.03722170122499613,0.7033375069707624,2.1633672463278137,1.9242170742630746,-0.12092677472368546
Alex Bregman,HOU,0.7644197489435601,1.2039135313230076,1.3705760758471066,0.2825107607415186,0.9543572620645541,-0.9350479181836366
Marcus Semien,TEX,0.05203431476837976,2.141097278349051,0.9055310126908667,-0.10933434042229301,0.2962381037870129,0.6117822543902707
Rafael Devers,BOS,1.3643232724595014,-0.1765327987558945,-2.006055469678633,1.6147841046984779,-0.22332965274795283,-0.3651631177616708
Freddie Freeman,LAD,1.4768051831187403,-0.9744054482510397,0.015879587522407743,0.6183779903105002,0.22696240291560207,-0.6093994607996562
Steven Kwan,CLE,1.2518413618002624,0.5073580436685157,2.2804468515875738,-0.7922643738792218,1.6990710464314203,0.08260351114130236
Riley Greene,DET,1.4018172426792477,-0.3411731867469562,-0.5502622284938821,1.3572858953622586,0.9716761872824683,-0.0802207175506879
Colton Cowser,BAL,0.8394076893830528,0.9632852719514557,-0.6109202802099133,1.2341345778536321,0.763849084668482,0.44895802569828047
Jazz Chisholm Jr.,- - -,0.4644679871855894,0.7859802387303124,-1.2175007973702263,0.5288133957587712,0.07109207595511237,2.524966941521156
Corbin Carroll,ARI,0.35198607652635044,0.1147540415359839,0.501144001250658,0.43924880120704335,0.7465301594505678,4.519563742998036
Nico Hoerner,CHC,0.20201019564736508,1.406547855004314,1.8558404895753546,-1.318456366870626,-0.5523892318868464,2.0364942554451853
Trea Turner,PHI,0.989383570262038,0.3933762365977806,0.743776208114781,0.14816386891392594,-1.0892759136394803,1.0595488832932438
Jackson Chourio,MIL,0.7269257787238137,0.532687334128679,0.0563182886664286,0.4168576525691113,-0.3445621292728602,1.6294336837152097
Jose Altuve,HOU,1.1018654809212771,-0.5438075104282629,0.5415827023946767,-0.22129008361195357,-1.3144219414713807,-0.28375100341567566
Julio Rodriguez,SEA,0.6894318085040674,0.684663076889659,-0.7524557342139864,0.09218599731909567,-1.4702922684318704,0.8153125402552585
