Name,Raw_TRV,Z_Score_TRV
Aaron Judge,8.653998894299509,3.2904417874462566
Bobby Witt Jr.,8.64993350360239,3.2888960359855184
Shohei Ohtani,8.104558815845516,3.0815325171858166
Juan Soto,5.65443394205395,2.1499408486803135
Gunnar Henderson,6.968917622158921,2.6497366174066785
Francisco Lindor,7.100705135317929,2.69984514476594
Jarren Duran,7.128046340730252,2.7102408757923353
Jose Ramirez,6.562460449780153,2.4951926105102458
Elly De La Cruz,6.61321512905407,2.514490662154479
Ketel Marte,5.812055803636262,2.209872166710311
Vladimir Guerrero Jr.,0.2571523931182461,0.097775027521144
William Contreras,1.9705493626576822,0.74924645199406
Matt Chapman,5.789921967657115,2.201456392718216
Cal Raleigh,2.566260797446202,0.9757491153557215
Yordan Alvarez,2.15645911800264,0.8199334528999546
Jackson Merrill,3.9564801245564425,1.504341252183031
Bryce Harper,2.1475736290113914,0.8165549934575854
Brent Rooker,2.431499347129116,0.9245098313118685
Willy Adames,2.9439404317857405,1.119351265792422
Marcell Ozuna,-0.43391156447093054,-0.16498277400194877
Corey Seager,2.9459556181975164,1.1201174842377664
Mookie Betts,5.690424403758951,2.1636252182521227
Carlos Correa,4.667003211264757,1.7744978449912834
Jurickson Profar,2.1534098440788125,0.8187740515107377
Dansby Swanson,3.945004860401187,1.4999781029430528
Patrick Bailey,4.781620825042784,1.8180779968446679
Kyle Tucker,7.721819254180974,2.936006470465445
Alex Bregman,3.6407294607361917,1.3842858660733306
Marcus Semien,3.897348623563303,1.4818581476438784
Rafael Devers,0.2080263382137747,0.07909621488384054
Freddie Freeman,0.7542202548165591,0.28677122261033644
Steven Kwan,5.0290564407500105,1.912158490679935
Riley Greene,2.759123192532518,1.0490796636687105
Colton Cowser,3.6387143693450374,1.3835196837569284
Jazz Chisholm Jr.,3.1578198417806917,1.200672948024819
Corbin Carroll,6.673226822968694,2.5373084355103535
Nico Hoerner,3.630047196914689,1.3802242330997059
Trea Turner,2.2449728535421762,0.8535883328854496
Jackson Chourio,3.0176606085303317,1.1473813075223918
Jose Altuve,-0.7198223556114546,-0.2736923805250438
Julio Rodriguez,0.058845420322061415,0.02237433034051977
Eugenio Suarez,2.289202040429679,0.8704052479945183
Byron Buxton,2.895977076339441,1.1011145372055255
Brenton Doyle,4.44722479391941,1.690933229690917
Ezequiel Tovar,-0.39007928135219094,-0.14831677048442113
Ian Happ,1.8352488653776655,0.6978022103723419
Masyn Winn,2.68227246947413,1.0198593189892873
Seiya Suzuki,2.329685659875838,0.8857980155184961
Teoscar Hernandez,-0.023840842991825345,-0.009064815813637469
Manny Machado,1.2743697622558412,0.4845435699265813
Alec Bohm,1.9829815756980989,0.7539734543658269
Oneil Cruz,2.497098343325866,0.9494520205745106
Zach Neto,1.6156581366908187,0.6143089584512067
Kyle Schwarber,0.5218031547403859,0.19840110059524443
Isaac Paredes,1.5980758079364241,0.6076237681755081
Austin Wells,2.3769399286764292,0.9037651336792235
Anthony Volpe,3.0410916810889455,1.156290319554082
Anthony Santander,0.07501338670504976,0.02852174875995757
Lawrence Butler,3.5529476535852385,1.3509092814498558
Daulton Varsho,2.6694638593152185,1.0149892021079743
Fernando Tatis Jr.,2.5310524117962885,0.9623621083978963
Salvador Perez,-2.594221999306151,-0.9863805827444913
JJ Bleday,0.9525636823913515,0.3621857807040886
Brendan Donovan,2.075336725131666,0.7890889248776417
Victor Robles,3.9014425477851944,1.483414748181836
Luis Garcia Jr.,1.178616685937923,0.44813613245850525
Joey Ortiz,3.6597213959387878,1.3915070198980968
Nolan Arenado,0.8059060830664951,0.30642331769026376
Willi Castro,0.05343569313984964,0.02031743241431841
Christian Yelich,4.850100484324066,1.8441154779261177
Joc Pederson,1.4473918288385244,0.5503303865171157
Tyler Fitzgerald,3.1494064671243467,1.1974739968947334
Christian Walker,1.7618281166332679,0.6698860177907489
Tyler Stephenson,2.5427276744949188,0.9668013015076032
Wilyer Abreu,2.0755831597768375,0.7891826247803401
Yainer Diaz,-1.860495199153589,-0.7074014248685253
Jake McCarthy,3.1414368125232897,1.194443757943801
Carlos Santana,1.5074767130041904,0.5731759884252471
Mark Vientos,-0.10112664943107541,-0.03845058881757265
Wyatt Langford,3.446268287274912,1.3103474268606432
Jordan Westburg,1.6519171083478177,0.6280954214456276
Nathaniel Lowe,1.2934880697588351,0.49181277329504214
Jonathan India,3.056395525372263,1.1621091796387035
Miguel Rojas,2.838810582443243,1.079378571826359
Josh Smith,0.613033299416892,0.2330888194157403
Adley Rutschman,0.38532651178352606,0.14650966237337903
Jeremy Pena,0.9378496690502756,0.3565911873894985
Alejandro Kirk,2.0747701880383693,0.7888735149441889
Andres Gimenez,0.0626619340220822,0.023825453262338217
Will Smith,1.985322469927911,0.7548635141275446
Taylor Ward,1.5764561901368994,0.599403511308705
Brandon Nimmo,2.5602258719365647,0.9734545031973912
Pete Crow-Armstrong,0.09540841705748648,0.03627639039413871
Willson Contreras,0.7128437634388185,0.2710389654295655
Matt Olson,-1.7478329731816489,-0.6645647547079854
Matt Vierling,3.505659447397742,1.332929259544005
Ha-seong Kim,4.147876120138088,1.5771142429707428
Jacob Young,2.8055917107248636,1.0667480220690702
Tyler O'Neill,1.3888292258828228,0.5280635895945975
Jose Iglesias,0.05535477087236451,0.021047108214090473
Gabriel Moreno,2.8388417187262753,1.0793904105298355
Otto Lopez,1.959353980828488,0.744989720204845
Brice Turang,3.5197061237240064,1.338270116565505
Kerry Carpenter,2.8439473465773286,1.0813316831643076
Austin Riley,1.5816445462396076,0.6013762390542271
