Player,Raw_TRV,Z_Score_TRV
Aaron Judge,8.653998894299509,3.2904417874462566
Bobby Witt Jr.,8.64993350360239,3.2888960359855184
Shohei Ohtani,8.104558815845516,3.0815325171858166
Kyle Tucker,7.721819254180974,2.936006470465445
Jarren Duran,7.128046340730252,2.7102408757923353
Francisco Lindor,7.10070513531793,2.69984514476594
Gunnar Henderson,6.968917622158921,2.6497366174066785
Corbin Carroll,6.673226822968694,2.5373084355103535
Elly De La Cruz,6.613215129054071,2.5144906621544796
Jose Ramirez,6.562460449780154,2.495192610510246
Ketel Marte,5.8120558036362615,2.2098721667103107
Matt Chapman,5.789921967657114,2.2014563927182156
Mookie Betts,5.690424403758951,2.1636252182521227
Juan Soto,5.65443394205395,2.1499408486803135
Pavin Smith,5.335028883983168,2.028495981049224
Steven Kwan,5.0290564407500105,1.912158490679935
Christian Yelich,4.850100484324066,1.8441154779261177
Patrick Bailey,4.781620825042784,1.8180779968446679
Carlos Correa,4.667003211264757,1.7744978449912834
Brenton Doyle,4.44722479391941,1.690933229690917
Dylan Moore,4.2436930171272635,1.6135459464696067
Maikel Garcia,4.214063097014777,1.6022799954927651
Geraldo Perdomo,4.1848141201909606,1.5911588875799216
Ha-seong Kim,4.147876120138088,1.5771142429707428
Jackson Merrill,3.9564801245564434,1.5043412521830313
Dansby Swanson,3.9450048604011876,1.4999781029430528
Victor Robles,3.9014425477851944,1.483414748181836
Marcus Semien,3.8973486235633024,1.4818581476438784
David Hamilton,3.7296635822494246,1.4181005861040583
Lars Nootbaar,3.6953365934545257,1.4050487057251115
Joey Ortiz,3.6597213959387878,1.3915070198980968
Alex Bregman,3.6407294607361917,1.3842858660733306
Colton Cowser,3.638714369345038,1.3835196837569286
Nico Hoerner,3.630047196914689,1.3802242330997059
Randal Grichuk,3.621932144511789,1.3771387106886264
Lawrence Butler,3.552947653585238,1.3509092814498556
Parker Meadows,3.5208909430933364,1.338720611095379
Brice Turang,3.5197061237240073,1.3382701165655053
Matt Vierling,3.505659447397742,1.332929259544005
Xavier Edwards,3.4608202282121385,1.3158803966625967
Wyatt Langford,3.4462682872749117,1.310347426860643
Max Muncy,3.444473127246073,1.3096648673126015
Trent Grisham,3.240737054872052,1.2321999063924838
Brandon Marsh,3.1581671108676854,1.2008049874125388
Jazz Chisholm Jr.,3.157819841780692,1.200672948024819
Tyler Fitzgerald,3.1494064671243467,1.1974739968947334
Jake McCarthy,3.1414368125232905,1.1944437579438014
Garrett Mitchell,3.107019022609829,1.1813573529712518
Jonathan India,3.056395525372263,1.1621091796387035
Anthony Volpe,3.041091681088945,1.156290319554082
Jackson Chourio,3.017660608530332,1.147381307522392
Corey Seager,2.945955618197517,1.1201174842377666
Willy Adames,2.9439404317857405,1.119351265792422
Byron Buxton,2.895977076339441,1.1011145372055255
Kerry Carpenter,2.8439473465773286,1.0813316831643076
Gabriel Moreno,2.8388417187262753,1.0793904105298355
Miguel Rojas,2.838810582443243,1.079378571826359
Ivan Herrera,2.836351258832928,1.078443482594771
Jacob Young,2.8055917107248627,1.06674802206907
Riley Greene,2.759123192532518,1.0490796636687105
Masyn Winn,2.6822724694741296,1.019859318989287
Daulton Varsho,2.6694638593152185,1.0149892021079743
Cedric Mullins,2.5915620973043545,0.9853692291720997
Cal Raleigh,2.566260797446202,0.9757491153557215
Brandon Nimmo,2.5602258719365647,0.9734545031973912
J.P. Crawford,2.5564740633672463,0.9720279825974041
Xander Bogaerts,2.556100783179505,0.9718860532138703
Tyler Stephenson,2.5427276744949188,0.9668013015076032
Fernando Tatis Jr.,2.5310524117962885,0.9623621083978963
Kyle Isbel,2.504489457081659,0.9522622854999949
Oneil Cruz,2.497098343325866,0.9494520205745106
Brent Rooker,2.431499347129116,0.9245098313118685
Austin Wells,2.3769399286764292,0.9037651336792235
Seiya Suzuki,2.329685659875838,0.8857980155184961
Eugenio Suarez,2.2892020404296787,0.8704052479945181
Kyle Higashioka,2.2476027214433936,0.8545882668285114
Trea Turner,2.2449728535421762,0.8535883328854496
Spencer Steer,2.2164267562031754,0.8427344752989148
Yasmani Grandal,2.1989360299821428,0.8360841143324512
Yordan Alvarez,2.15645911800264,0.8199334528999546
Jurickson Profar,2.153409844078813,0.8187740515107379
Bryce Harper,2.1475736290113914,0.8165549934575854
Wilyer Abreu,2.075583159776838,0.7891826247803402
Brendan Donovan,2.075336725131666,0.7890889248776417
Alejandro Kirk,2.0747701880383698,0.7888735149441891
Lane Thomas,2.0271626399448834,0.7707720721825253
Will Smith,1.9853224699279106,0.7548635141275446
Alec Bohm,1.9829815756980986,0.7539734543658269
Isiah Kiner-Falefa,1.9767154099760318,0.751590919564195
Evan Carter,1.9731179478306589,0.7502230848884027
William Contreras,1.9705493626576822,0.7492464519940601
Otto Lopez,1.9593539808284883,0.7449897202048452
Mike Yastrzemski,1.8819367059520473,0.7155539599932911
Zach McKinstry,1.8434183094253966,0.7009084136898125
Jake Meyers,1.8402780800751706,0.6997144290357405
Ian Happ,1.8352488653776657,0.6978022103723421
Sal Frelick,1.8215200990759695,0.6925822297736686
Matt Wallner,1.7789451044154891,0.6763942751364863
Christian Walker,1.7618281166332674,0.6698860177907489
Jake Cronenworth,1.744350384673679,0.6632405975298915
James Wood,1.7362508596300597,0.6601609789642423
Bryson Stott,1.731193822982518,0.6582381817800782
Jonah Bride,1.7108959643031092,0.6505204869652106
Tommy Edman,1.689268335492681,0.6422971841348756
Jose Trevino,1.6523455834166534,0.6282583371437455
Jordan Westburg,1.6519171083478177,0.6280954214456277
Zach Neto,1.6156581366908187,0.6143089584512068
Isaac Paredes,1.5980758079364241,0.6076237681755082
Austin Riley,1.5816445462396078,0.6013762390542272
Taylor Ward,1.5764561901368994,0.599403511308705
Carlos Santana,1.5074767130041904,0.5731759884252471
Joc Pederson,1.4473918288385244,0.5503303865171157
TJ Friedl,1.4002646702136965,0.5324115984566172
Tyler O'Neill,1.3888292258828228,0.5280635895945975
Carson Kelly,1.3748752904596233,0.5227579947156721
Jason Heyward,1.3521835498866692,0.5141300930573623
Ben Rice,1.3454881732298278,0.5115843627651069
Nathaniel Lowe,1.2934880697588351,0.49181277329504225
Manny Machado,1.2743697622558412,0.4845435699265814
Ryan O'Hearn,1.2700759173988931,0.4829109551413611
LaMonte Wade Jr.,1.2633453520174793,0.4803518453177244
Joey Bart,1.2573066594813656,0.47805580085260935
Michael Massey,1.2398009190486226,0.4713997311507715
Danny Jansen,1.1830588476976338,0.44982514061060674
Luis Garcia Jr.,1.1786166859379226,0.4481361324585052
Richie Palacios,1.11751318504921,0.4249032299426615
Trevor Larnach,1.0725617144474398,0.40781168659006684
Anthony Rendon,1.071656367977924,0.40746745383804117
Jorge Mateo,1.02360664730341,0.3891978872811646
Whit Merrifield,0.9792222123290298,0.37232194341571145
Jake Rogers,0.9684497914888928,0.3682260307495228
Josh Rojas,0.9543759943072947,0.36287486177897005
JJ Bleday,0.9525636823913515,0.36218578070408863
Max Schuemann,0.9521675567888991,0.3620351649885903
Kevin Newman,0.9470870708341411,0.36010345185917436
Jeremy Pena,0.9378496690502753,0.35659118738949847
Gavin Lux,0.9373468746992382,0.356400013856505
J.T. Realmuto,0.9164739731822932,0.348463675036096
Jake Bauers,0.8308511911498011,0.31590799951564985
Blake Perkins,0.8203418119506464,0.31191210109927775
Heliot Ramos,0.8203404988773251,0.31191160183975863
Michael Busch,0.8155288815756696,0.3100821185190483
Nolan Arenado,0.8059060830664951,0.3064233176902638
Patrick Wisdom,0.8041501327587228,0.3057556665454065
Rob Refsnyder,0.8019135749985591,0.30490527781714727
Cavan Biggio,0.8016708949810719,0.30481300550693885
Ronald Acuna Jr.,0.7972879902972438,0.30314652820572713
George Springer,0.7731365455114613,0.2939636147201838
Freddie Freeman,0.7542202548165591,0.2867712226103365
Willson Contreras,0.7128437634388184,0.2710389654295655
Mike Tauchman,0.6465723356791722,0.24584110281397098
Brandon Lowe,0.6426907061674128,0.24436522142030787
Vinnie Pasquantino,0.6384567635013025,0.24275538277295172
Josh Smith,0.6130332994168921,0.2330888194157404
Victor Caratini,0.6084328120702289,0.2313396123736584
Michael Toglia,0.5830726732040821,0.22169712666504843
Kyle Schwarber,0.5218031547403859,0.19840110059524446
Colt Keith,0.4175476351000629,0.15876084612023966
Spencer Horwitz,0.39590360782577294,0.15053130823124566
Adley Rutschman,0.3853265117835263,0.14650966237337917
Royce Lewis,0.3193591550579847,0.1214274142903482
Tyrone Taylor,0.3163966581654143,0.12030100744773647
Michael Conforto,0.30836817638725733,0.11724840110294021
Willie Calhoun,0.30772767563376624,0.11700486854996449
Jung Hoo Lee,0.30232241613055266,0.11494966933413368
Abraham Toro,0.2784940264355964,0.10588958853940597
Jhonkensy Noel,0.27025980151342893,0.1027587541006613
Austin Barnes,0.26800410304123745,0.10190108765033778
Vladimir Guerrero Jr.,0.25715239311824645,0.09777502752114417
Oswaldo Cabrera,0.2205041986489702,0.08384057340472448
Rafael Devers,0.20802633821377464,0.07909621488384057
Francisco Alvarez,0.2027285202846788,0.07708186733086576
Luke Raley,0.17751048481025508,0.06749341247481017
Tyler Soderstrom,0.1579484138684154,0.060055480431807785
David Fry,0.1572421410969136,0.05978693990284887
Johan Rojas,0.150103356253515,0.05707261601082947
Yandy Diaz,0.1349530720955372,0.05131214288228161
D.J. Stewart,0.13307317069905178,0.050597362791964196
Lourdes Gurriel Jr.,0.12151438553777694,0.046202457018192304
Santiago Espinal,0.10179327631246893,0.03870405510223066
Pete Crow-Armstrong,0.09540841705748648,0.03627639039413877
Connor Joe,0.0943935861536146,0.03589052923861083
Freddy Fermin,0.08285830154059404,0.031504558893066775
Jose Caballero,0.08166072073246733,0.031049212181906517
Anthony Santander,0.07501338670504976,0.02852174875995762
Alex Verdugo,0.07103205914950927,0.027007959964942752
Andres Gimenez,0.0626619340220822,0.02382545326233827
Julio Rodriguez,0.058845420322061304,0.02237433034051978
Jose Iglesias,0.05535477087236457,0.02104710821409055
Willi Castro,0.05343569313984958,0.02031743241431844
Sam Hilliard,0.042580453640455845,0.016190030262109877
Cody Bellinger,0.01470056990028401,0.00558948182106106
Jesse Winker,0.005783443372150865,0.0021989930874142007
Masataka Yoshida,0.0018743950890640626,0.0007126864704481946
Austin Martin,-0.0046688326469940256,-0.0017751934369186803
Kyle Manzardo,-0.004860088428101972,-0.0018479131150622489
Bo Naylor,-0.014304309249509706,-0.005438814757203655
Andy Pages,-0.018886478619350222,-0.007181056899343418
Teoscar Hernandez,-0.023840842991825373,-0.009064815813637425
Wenceel Perez,-0.032835757161698065,-0.01248488112916891
Nick Loftin,-0.05507666772699936,-0.020941367247179446
Ryan Jeffers,-0.05682373621741199,-0.021605641328629938
Leody Taveras,-0.09815410460755147,-0.037320361529373715
Mark Vientos,-0.10112664943107552,-0.038450588817572635
Travis d'Arnaud,-0.10308614750506506,-0.039195633325184345
Luis Guillorme,-0.12784119339766886,-0.048608049301898736
Edouard Julien,-0.20029826912669046,-0.07615783208867237
Sean Murphy,-0.22756302218844068,-0.08652449424041833
Ke'Bryan Hayes,-0.2604632639079911,-0.09903389382474244
Shea Langeliers,-0.26650521679871164,-0.10133117794879105
Enrique Hernandez,-0.29179856086864964,-0.11094826679852526
Tyler Freeman,-0.2970719892411782,-0.11295334090264869
Jacob Stallings,-0.3088803220559788,-0.11744313021374818
Davis Schneider,-0.3299638013221332,-0.12545953535193333
Zack Gelof,-0.34319808873830016,-0.13049150414151967
Harrison Bader,-0.3580852078826722,-0.1361519161112508
Ezequiel Tovar,-0.39007928135219094,-0.14831677048442107
Ernie Clement,-0.39406520208520274,-0.14983230570710174
Garrett Hampson,-0.40359574270690934,-0.15345602804652503
Orlando Arcia,-0.4246817250764835,-0.16147338491999363
Marcell Ozuna,-0.4339115644709304,-0.16498277400194866
Brett Wisely,-0.4619646870868189,-0.17564919169521612
Ramon Urias,-0.4729083073727319,-0.1798101981772521
Spencer Torkelson,-0.5246128613006574,-0.19946941317412273
Nick Gonzales,-0.5448923142465395,-0.20718010972200826
Edmundo Sosa,-0.5504505742923078,-0.20929348312816115
Pete Alonso,-0.5617100196410629,-0.21357457328446053
Jeff McNeil,-0.5727779655227002,-0.21778285110780554
Ryan McMahon,-0.5836215262232598,-0.22190581272238746
Triston Casas,-0.5856325867627074,-0.22267046241981708
Luis Rengifo,-0.643434740798489,-0.24464811984348797
Mark Canha,-0.6717522064757474,-0.25541504661538794
Starling Marte,-0.674163786489952,-0.25633198267574914
Robbie Grossman,-0.674487121523828,-0.25645492180710394
Josh Lowe,-0.7061323711436336,-0.26848714563738035
Jose Altuve,-0.7198223556114546,-0.2736923805250438
Kevin Pillar,-0.7231080519603699,-0.27494167494943433
Ozzie Albies,-0.7282005269803492,-0.2768779465866198
Matt Carpenter,-0.728278640204092,-0.2769076469619832
Brendan Rodgers,-0.7389486772384396,-0.28096463104070124
